bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher23158,The Age of Access: The New Culture of Hypercapitalism  Where All of Life Is a Paid-For Experience,Jeremy Rifkin/Ralph Fowler,3.82,1585420824,9781585420827,eng,320,228,12,3/5/2001,"Tarcher"
22128,Patriots (The Coming Collapse),James Wesley, Rawles,3.63,156384155X,9781563841552,eng,342,38,4,1/15/1999,Huntington House Publishers
26012,Glamorama,Bret Easton Ellis/Pierre Guglielmina,3.46,2264031913,9782264031914,fre,537,56,5,2/15/2001,10/18
5478,Nineteen Eighty-Four,George Orwell,4.18,1421808323,9781421808321,eng,387,215,17,7/1/2005,1st World Library
34889,Brown's Star Atlas: Showing All The Bright Stars With Full Instructions How To Find And Use Them For Navigational Purposes And Department Of Trade Examinations.,Brown, Son & Ferguson,0.00,0851742718,9780851742717,eng,49,0,0,5/1/1977,Brown Son & Ferguson Ltd.
16285,The Custard Kid (Black Cats),Terry Deary,4.40,0713659890,9780713659894,eng,62,5,0,10/31/2001,A & C Black (Childrens books)
18843,Women and Writing,Virginia Woolf/Michèle Barrett,4.07,0156028069,9780156028066,eng,216,244,13,3/31/2003,A Harvest Book/Harcourt  Inc.
2731,Advanced Global Illumination,Philip Dutre,4.50,1568813074,9781568813073,eng,366,17,2,8/30/2006,A K PETERS
3055,Alcoholics Anonymous,Alcoholics Anonymous,4.45,1893007162,9781893007161,en-US,576,495,30,2/10/2002,AA World Services
13720,Cromartie High School  Vol. 05,Eiji Nonaka/Brendan Frayne,4.28,1413902618,9781413902617,eng,168,63,2,3/21/2006,ADV Manga
13724,Cromartie High School  Vol. 02,Eiji Nonaka/Brendan Frayne,4.19,1413902588,9781413902587,eng,161,134,9,6/14/2005,ADV Manga
14091,Prétear  Vol. 3 (Prétear  #3),Junichi Sat�?/Kaori Naruse,3.95,1413901468,0702727014581,eng,172,326,10,10/12/2004,ADV Manga
22553,Gunslinger Girl  Vol. 1,Yu Aida/Hiroshi Aida,3.87,1413900208,9781413900200,eng,175,911,42,12/29/2003,ADV Manga
22861,Your and My Secret  Vol. 1,Ai Morinaga,3.54,1413901433,9781413901436,eng,174,406,31,7/6/2004,ADV Manga
43755,Azumanga Daioh  Vol. 3 (Azumanga Daioh  #3),Kiyohiko Azuma/�?��?��?� �??よ�?��?�,4.38,1413900305,9781413900309,eng,166,2144,19,2/17/2004,ADV Manga
4519,A Framework for Understanding Poverty,Ruby K. Payne,3.90,1929229488,9781929229482,eng,199,3690,518,2/9/2006,AHA! Process
36461,Proof of Concept,Larry Young/Damian Couceiro/Kieron Dwyer,3.00,1932051295,9781932051292,eng,134,6,1,1/18/2005,AIT Planet Lar
12618,On Anarchism,Noam Chomsky/Barry Pateman,3.93,1904859208,9781904859208,eng,256,4145,192,5/1/2005,AK Press
44705,The Leadership Challenge: Skills for Taking Charge,Warren G. Bennis,0.00,088684049X,9780886840495,eng,60,0,0,12/1/1985,AMR/Advanced Management Reports
14673,Thinking Visually (Basics Illustration  #1),Mark Wigan,3.62,2940373159,9782940373154,eng,184,51,5,12/20/2006,AVA Publishing
6176,The Drowned and the Saved,Primo Levi,4.40,0349100470,9780349100470,eng,170,3542,169,2/1/1989,Abacus
33356,Jennifer Government,Max Barry,3.66,0349117624,9780349117621,eng,352,10771,921,2/5/2004,Abacus
33777,Venice: Tales of the City,Michelle Lovric,3.68,034911899X,9780349118994,eng,464,34,3,1/20/2005,Abacus
44225,Lincoln (Narratives of a Golden Age),Gore Vidal,4.21,0349105308,9780349105307,en-GB,736,29,4,4/21/1994,Abacus Books
30092,The Life and Death of My Lord Gilles de Rais,Robert Nye,3.87,0349102503,9780349102504,en-GB,323,65,8,12/1/1991,Abacus Books (London)
41463,A Christmas Carol (Great Illustrated Classics),Malvina G. Vogel/Charles Dickens,4.36,159679237X,9781596792371,eng,238,466,31,1/1/2005,Abdo Publishing Company
9486,Exclusion & Embrace: A Theological Exploration of Identity  Otherness  and Reconciliation,Miroslav Volf,4.27,0687002826,9780687002825,eng,306,1967,131,12/1/1996,Abingdon Press
